Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry
IRWD,"Ironwood Pharmaceuticals, Inc.",16.19,$2.37B,2010,Health Care,Major Pharmaceuticals
IRCP,IRSA Propiedades Comerciales S.A.,44.94,$1.42B,n/a,Consumer Services,Building operators
PMPT,iSectors Post-MPT Growth ETF,23.23,$92.92 ,n/a,n/a,n/a
SLQD,iShares 0-5 Year Investment Grade Corporate Bond ETF,50.33,$203.84M,n/a,n/a,n/a
TLT,iShares 20+ Year Treasury Bond ETF,121.2,$6.27B,n/a,n/a,n/a
AIA,iShares Asia 50 ETF,46.86,$337.39M,n/a,n/a,n/a
COMT,iShares Commodities Select Strategy ETF,32.03,$317.1M,n/a,n/a,n/a
IXUS,iShares Core MSCI Total International Stock ETF,49.75,$3.17B,n/a,n/a,n/a
FALN,iShares Fallen Angels USD Bond ETF,26.36,$10.54M,n/a,n/a,n/a
IFEU,iShares FTSE EPRA/NAREIT Europe Index Fund,31.76,$50.82M,n/a,n/a,n/a
IFGL,iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund,27.07,$703.82M,n/a,n/a,n/a
IGF,iShares Global Infrastructure ETF,38.17,$1.15B,n/a,n/a,n/a
GNMA,iShares GNMA Bond ETF,50.19,$173.16M,n/a,n/a,n/a
HYXE,iShares iBoxx $ High Yield ex Oil & Gas Corporate Bond ETF,50.3338,$10.07M,n/a,n/a,n/a
JKI,iShares Morningstar Mid-Cap ETF,140.44,$252.79M,n/a,n/a,n/a
ACWX,iShares MSCI ACWI ex US Index Fund,39.74,$1.85B,n/a,n/a,n/a
ACWI,iShares MSCI ACWI Index Fund,58.3,$5.36B,n/a,n/a,n/a
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,55.84,$2.79B,n/a,n/a,n/a
EWZS,iShares MSCI Brazil Small-Cap ETF,10.73,$43.46M,n/a,n/a,n/a
MCHI,iShares MSCI China ETF,45.37,$2.25B,n/a,n/a,n/a
ESGD,iShares MSCI EAFE ESG Optimized ETF,54.369,$5.44M,n/a,n/a,n/a
SCZ,iShares MSCI EAFE Small-Cap ETF,49.54,$5.99B,n/a,n/a,n/a
ESGE,iShares MSCI EM ESG Optimized ETF,53.89,$5.39M,n/a,n/a,n/a
EEMA,iShares MSCI Emerging Markets Asia Index Fund,53.05,$172.41M,n/a,n/a,n/a
EUFN,iShares MSCI Europe Financials Sector Index Fund,18.17,$338.87M,n/a,n/a,n/a
IEUS,iShares MSCI Europe Small-Cap ETF,41.96,$48.25M,n/a,n/a,n/a
MPCT,iShares MSCI Global Impact ETF,47.37,$16.58M,n/a,n/a,n/a
ENZL,iShares MSCI New Zealand Capped ETF,41.41,$126.3M,n/a,n/a,n/a
QAT,iShares MSCI Qatar Capped ETF,18.07,$39.75M,n/a,n/a,n/a
UAE,iShares MSCI UAE Capped ETF,15.73,$37.75M,n/a,n/a,n/a
IBB,iShares Nasdaq Biotechnology Index Fund,288.52,$8.73B,n/a,n/a,n/a
SOXX,iShares PHLX SOX Semiconductor Sector Index Fund,117.38,$586.9M,n/a,n/a,n/a
EMIF,iShares S&P Emerging Markets Infrastructure Index Fund,28.1105,$42.17M,n/a,n/a,n/a
ICLN,iShares S&P Global Clean Energy Index Fund,7.92,$71.28M,n/a,n/a,n/a
WOOD,iShares S&P Global Timber & Forestry Index Fund,51.19,$196.57M,n/a,n/a,n/a
INDY,iShares S&P India Nifty 50 Index Fund,27.33,$709.21M,n/a,n/a,n/a
ISHG,iShares S&P/Citigroup 1-3 Year International Treasury Bond Fun,78.13,$82.04M,n/a,n/a,n/a
IGOV,iShares S&P/Citigroup International Treasury Bond Fund,91.7601,$724.9M,n/a,n/a,n/a
ISLE,"Isle of Capri Casinos, Inc.",22.46,$927.67M,n/a,Consumer Services,Hotels/Resorts
ISRL,"Isramco, Inc.",108.5,$294.87M,1983,Energy,Oil & Gas Production
ITI,"Iteris, Inc.",3.38,$108.79M,n/a,Consumer Durables,Telecommunications Equipment
ITRI,"Itron, Inc.",64.75,$2.48B,1993,Capital Goods,Electrical Products
ITRN,Ituran Location and Control Ltd.,24.45,$573.97M,2005,Consumer Non-Durables,Electronic Components
ITUS,ITUS Corporation,5.05,$44.18M,n/a,Miscellaneous,Multi-Sector Companies
IVENC,Ivy NextShares,100.01,n/a,n/a,n/a,n/a
IVFGC,Ivy NextShares,100.01,n/a,n/a,n/a,n/a
IVFVC,Ivy NextShares,100.01,n/a,n/a,n/a,n/a
XXIA,Ixia,13.8,$1.13B,2000,Capital Goods,Electrical Products
IXYS,IXYS Corporation,11.7,$368.98M,n/a,Technology,Semiconductors
IZEA,IZEA Inc.,4.72,$25.72M,n/a,Consumer Services,Advertising
JJSF,J & J Snack Foods Corp.,122.19,$2.28B,1986,Consumer Non-Durables,Specialty Foods
MAYS,"J. W. Mays, Inc.",46,$92.73M,n/a,Consumer Services,Building operators
JBHT,"J.B. Hunt Transport Services, Inc.",91.45,$10.26B,n/a,Transportation,Trucking Freight/Courier Services
JCOM,"j2 Global, Inc.",74.59,$3.58B,1999,Technology,Telecommunications Equipment
JASO,"JA Solar Holdings, Co., Ltd.",5.6,$266.4M,2007,Technology,Semiconductors
JKHY,"Jack Henry & Associates, Inc.",86.55,$6.76B,1985,Technology,EDP Services
JACK,Jack In The Box Inc.,102.54,$3.35B,n/a,Consumer Services,Restaurants
JXSB,Jacksonville Bancorp Inc.,30,$53.96M,n/a,Finance,Savings Institutions
JAGX,"Jaguar Animal Health, Inc.",0.8303,$9.23M,2015,Health Care,Major Pharmaceuticals
JAKK,"JAKKS Pacific, Inc.",6.85,$137.01M,1996,Consumer Non-Durables,Recreational Products/Toys
JMBA,"Jamba, Inc.",10.07,$154.37M,n/a,Consumer Services,Restaurants
JRVR,"James River Group Holdings, Ltd.",40.33,$1.17B,2014,Finance,Property-Casualty Insurers
JSML,Janus Small Cap Growth Alpha ETF,29.6798,n/a,n/a,n/a,n/a
JSMD,Janus Small/Mid Cap Growth Alpha ETF,30.75,$10.82M,n/a,n/a,n/a
JASN,"Jason Industries, Inc.",1.56,$34.94M,2013,Consumer Durables,Miscellaneous manufacturing industries
JASNW,"Jason Industries, Inc.",0.0679,n/a,2013,Consumer Durables,Miscellaneous manufacturing industries
JAZZ,Jazz Pharmaceuticals plc,110.24,$6.6B,2007,Health Care,Major Pharmaceuticals
JD,"JD.com, Inc.",26.75,$38.61B,2014,Consumer Services,Other Specialty Stores
JSYN,Jensyn Acquistion Corp.,10.08,$52.11M,2016,Finance,Business Services
JSYNR,Jensyn Acquistion Corp.,0.2,n/a,2016,Finance,Business Services
JSYNU,Jensyn Acquistion Corp.,10.2999,n/a,2016,Finance,Business Services
JSYNW,Jensyn Acquistion Corp.,0.095,n/a,2016,Finance,Business Services
JBLU,JetBlue Airways Corporation,20.74,$6.71B,2002,Transportation,Air Freight/Delivery Services
JTPY,JetPay Corporation,2.4569,$43.45M,2011,Finance,Business Services
JCTCF,Jewett-Cameron Trading Company,11.25,$25.72M,n/a,Consumer Services,RETAIL: Building Materials
JIVE,"Jive Software, Inc.",3.95,$308.52M,2011,Technology,EDP Services
WYIG,JM Global Holding Company,9.87,$64.77M,2015,Finance,Business Services
WYIGU,JM Global Holding Company,10.03,$65.82M,2015,Finance,Business Services
WYIGW,JM Global Holding Company,0.1799,n/a,2015,Finance,Business Services
JBSS,"John B. Sanfilippo & Son, Inc.",66.09,$741.01M,1991,Consumer Non-Durables,Specialty Foods
JOUT,Johnson Outdoors Inc.,43.02,$431.46M,n/a,Consumer Non-Durables,Recreational Products/Toys
JNP,"Juniper Pharmaceuticals, Inc.",5.7,$61.81M,n/a,Health Care,Major Pharmaceuticals
JUNO,"Juno Therapeutics, Inc.",30.61,$3.24B,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
KTWO,"K2M Group Holdings, Inc.",18.61,$785.3M,2014,Health Care,Medical/Dental Instruments
KALU,Kaiser Aluminum Corporation,81.67,$1.46B,n/a,Capital Goods,Metal Fabrications
KMDA,Kamada Ltd.,5.35,$194.84M,2013,Health Care,Major Pharmaceuticals
KNDI,"Kandi Technologies Group, Inc.",3.9,$186.03M,n/a,Capital Goods,Auto Manufacturing
KPTI,Karyopharm Therapeutics Inc.,9.95,$410.37M,2013,Health Care,Major Pharmaceuticals
KBSF,KBS Fashion Group Limited,0.36,$9.55M,2013,Consumer Non-Durables,Apparel
KCAP,"KCAP Financial, Inc.",3.94,$146.48M,2006,n/a,n/a
KRNY,Kearny Financial,15.1,$1.34B,n/a,Finance,Savings Institutions
KELYA,"Kelly Services, Inc.",20.5,$783.93M,n/a,Technology,Professional Services
KELYB,"Kelly Services, Inc.",19.54,$747.22M,n/a,Technology,Professional Services
KMPH,"KemPharm, Inc.",4.15,$60.78M,2015,Health Care,Major Pharmaceuticals
KFFB,Kentucky First Federal Bancorp,8.5032,$71.76M,n/a,Finance,Savings Institutions
KERX,"Keryx Biopharmaceuticals, Inc.",6.28,$665.43M,n/a,Health Care,Major Pharmaceuticals
KEQU,Kewaunee Scientific Corporation,22.743,$61.54M,n/a,Capital Goods,Medical Specialities
KTEC,"Key Technology, Inc.",10.05,$64.35M,1993,Technology,Industrial Machinery/Components
KTCC,Key Tronic Corporation,7.63,$82.09M,1983,Technology,Computer peripheral equipment
KFRC,"Kforce, Inc.",19.4,$526.11M,1995,Technology,Professional Services
KE,"Kimball Electronics, Inc.",16.7,$458.97M,n/a,Technology,Electrical Products
KBAL,"Kimball International, Inc.",15.27,$569.47M,n/a,Consumer Durables,Home Furnishings
KIN,"Kindred Biosciences, Inc.",4.6,$91.5M,2013,Health Care,Major Pharmaceuticals
KGJI,Kingold Jewelry Inc.,1.76,$116.19M,n/a,Miscellaneous,Business Services
KINS,"Kingstone Companies, Inc",12.2,$96.54M,n/a,Finance,Property-Casualty Insurers
KONE,Kingtone Wirelessinfo Solution Holding Ltd,6.19,$8.7M,2010,Technology,EDP Services
KNSL,"Kinsale Capital Group, Inc.",26.69,$559.65M,2016,Finance,Property-Casualty Insurers
KIRK,"Kirkland&#39;s, Inc.",14.04,$223.11M,2002,Consumer Services,Other Specialty Stores
KITE,"Kite Pharma, Inc.",50.56,$2.52B,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
KTOV,Kitov Pharmaceuticals Holdings Ltd.,3.75,$28.73M,2015,Health Care,Major Pharmaceuticals
KTOVW,Kitov Pharmaceuticals Holdings Ltd.,1.65,n/a,2015,Health Care,Major Pharmaceuticals
KLAC,KLA-Tencor Corporation,79.05,$12.36B,1980,Capital Goods,Electronic Components
KLRE,KLR Energy Acquisition Corp.,10.12,$82.84M,2016,Finance,Business Services
KLREU,KLR Energy Acquisition Corp.,10.5203,n/a,2016,Finance,Business Services
KLREW,KLR Energy Acquisition Corp.,0.4048,n/a,2016,Finance,Business Services
KLXI,KLX Inc.,38.67,$2.04B,n/a,Capital Goods,Aerospace
KONA,"Kona Grill, Inc.",12.35,$130.2M,2005,Consumer Services,Restaurants
KZ,KongZhong Corporation,6.9,$325.01M,n/a,Technology,Telecommunications Equipment
KOPN,Kopin Corporation,2.66,$177.61M,1992,Technology,Semiconductors
KRNT,Kornit Digital Ltd.,11.4,$345.37M,2015,Capital Goods,Industrial Machinery/Components
KOSS,Koss Corporation,2.37,$17.5M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances
KWEB,KraneShares CSI China Internet ETF,37.75,$128.35M,n/a,n/a,n/a
KTOS,"Kratos Defense & Security Solutions, Inc.",6.85,$414.54M,n/a,Capital Goods,Military/Government/Technical
KLIC,"Kulicke and Soffa Industries, Inc.",15.33,$1.08B,n/a,Technology,Semiconductors
KURA,"Kura Oncology, Inc.",5.6,$119.66M,n/a,Health Care,Major Pharmaceuticals
KVHI,"KVH Industries, Inc.",9.85,$163.08M,1996,Technology,Radio And Television Broadcasting And Communications Equipment
FSTR,L.B. Foster Company,11.95,$124.2M,n/a,Basic Industries,Metal Fabrications
LJPC,La Jolla Pharmaceutical Company,21.06,$384.43M,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LSBK,"Lake Shore Bancorp, Inc.",14.021,$85.5M,n/a,Finance,Savings Institutions
LSBG,Lake Sunapee Bank Group,20.42,$171.28M,n/a,Finance,Savings Institutions
LBAI,"Lakeland Bancorp, Inc.",16.4,$728.86M,n/a,Finance,Major Banks
LKFN,Lakeland Financial Corporation,43.89,$1.1B,n/a,Finance,Major Banks
LAKE,"Lakeland Industries, Inc.",11.15,$80.91M,1986,Health Care,Industrial Specialties
LRCX,Lam Research Corporation,103.8,$16.9B,1984,Technology,Industrial Machinery/Components
LAMR,Lamar Advertising Company,63.12,$6.14B,1996,Consumer Services,Real Estate Investment Trusts
LANC,Lancaster Colony Corporation,136.28,$3.74B,n/a,Consumer Non-Durables,Packaged Foods
LCA,"Landcadia Holdings, Inc.",9.8,$306.25M,2016,Finance,Business Services
LCAHU,"Landcadia Holdings, Inc.",10.37,n/a,2016,Finance,Business Services
LCAHW,"Landcadia Holdings, Inc.",0.6,n/a,2016,Finance,Business Services
LNDC,Landec Corporation,14.2,$386.83M,1996,Basic Industries,Major Chemicals
LARK,Landmark Bancorp Inc.,27.295,$100.29M,n/a,Finance,Major Banks
LMRK,Landmark Infrastructure Partners LP,14.7,$331.09M,2014,Consumer Services,Real Estate
LMRKO,Landmark Infrastructure Partners LP,24.64,n/a,n/a,Consumer Services,Real Estate
LMRKP,Landmark Infrastructure Partners LP,24.9975,n/a,n/a,Consumer Services,Real Estate
LE,"Lands&#39; End, Inc.",17.9,$573.33M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores
LSTR,"Landstar System, Inc.",80.75,$3.37B,1993,Transportation,Trucking Freight/Courier Services
LNTH,"Lantheus Holdings, Inc.",9.25,$330.45M,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
LTRX,"Lantronix, Inc.",1.4,$24.16M,2000,Technology,Computer Communications Equipment
LSCC,Lattice Semiconductor Corporation,7.5,$908.65M,n/a,Technology,Semiconductors
LAWS,"Lawson Products, Inc.",23.4,$205.88M,n/a,Consumer Durables,Industrial Specialties
LAYN,Layne Christensen Company,10.35,$204.98M,1992,Basic Industries,Engineering & Construction
LCNB,LCNB Corporation,20,$199.67M,n/a,Finance,Major Banks
LBIX,Leading Brands Inc,1.59,$4.46M,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
LGCY,Legacy Reserves LP,1.93,$140.01M,2007,Energy,Oil & Gas Production
LGCYO,Legacy Reserves LP,7.1506,$50.05M,n/a,Energy,Oil & Gas Production
LGCYP,Legacy Reserves LP,7.39,$14.78M,n/a,Energy,Oil & Gas Production
LTXB,"LegacyTexas Financial Group, Inc.",38.83,$1.86B,n/a,Finance,Savings Institutions
DDBI,Legg Mason Developed EX-US Diversified Core ETF,24.1237,n/a,n/a,n/a,n/a
EDBI,Legg Mason Emerging Markets Diversified Core ETF,26.466,n/a,n/a,n/a,n/a
LVHD,Legg Mason Low Volatility High Dividend ETF,27.4554,n/a,n/a,n/a,n/a
UDBI,Legg Mason US Diversified Core ETF,27.07,n/a,n/a,n/a,n/a
LMAT,"LeMaitre Vascular, Inc.",24.61,$457.35M,2006,Health Care,Medical/Dental Instruments
TREE,"LendingTree, Inc.",93.2,$1.1B,n/a,Finance,Finance: Consumer Services
LXRX,"Lexicon Pharmaceuticals, Inc.",16.93,$1.76B,n/a,Health Care,Major Pharmaceuticals
LGIH,"LGI Homes, Inc.",32.24,$686.15M,2013,Capital Goods,Homebuilding
LHCG,LHC Group,43.03,$782.15M,2005,Health Care,Medical/Nursing Services
LBRDA,Liberty Broadband Corporation,67.79,$12.32B,n/a,Consumer Services,Television Services
LBRDK,Liberty Broadband Corporation,69.17,$12.57B,n/a,Consumer Services,Television Services
LEXEA,"Liberty Expedia Holdings, Inc.",44.47,$2.53B,n/a,Consumer Services,Other Consumer Services
LEXEB,"Liberty Expedia Holdings, Inc.",n/a,n/a,n/a,Consumer Services,Other Consumer Services
LBTYA,Liberty Global plc,32.91,$29.83B,n/a,Consumer Services,Television Services
LBTYB,Liberty Global plc,32.03,$29.03B,n/a,Consumer Services,Television Services
LBTYK,Liberty Global plc,32,$29B,n/a,Consumer Services,Television Services
LILA,Liberty Global plc,20.2,$3.52B,n/a,Consumer Services,Television Services
LILAK,Liberty Global plc,19.71,$3.43B,n/a,Consumer Services,Television Services
LVNTA,Liberty Interactive Corporation,39.72,$3.39B,n/a,Consumer Services,Catalog/Specialty Distribution
LVNTB,Liberty Interactive Corporation,41.94,$3.58B,n/a,Consumer Services,Catalog/Specialty Distribution
QVCA,Liberty Interactive Corporation,21.18,$9.89B,n/a,Consumer Services,Catalog/Specialty Distribution
QVCB,Liberty Interactive Corporation,21.24,$9.92B,n/a,Consumer Services,Catalog/Specialty Distribution
BATRA,Liberty Media Corporation,19.14,n/a,n/a,Consumer Services,Broadcasting
BATRK,Liberty Media Corporation,18.99,$938.75M,n/a,Consumer Services,Broadcasting
LMCA,Liberty Media Corporation,32.76,n/a,n/a,Consumer Services,Broadcasting
LMCK,Liberty Media Corporation,32.59,$2.73B,n/a,Consumer Services,Broadcasting
LSXMA,Liberty Media Corporation,36.06,n/a,n/a,Consumer Services,Broadcasting
LSXMB,Liberty Media Corporation,36,n/a,n/a,Consumer Services,Broadcasting
LSXMK,Liberty Media Corporation,35.63,$11.94B,n/a,Consumer Services,Broadcasting
TAX,"Liberty Tax, Inc.",12.55,$161.85M,n/a,Miscellaneous,Multi-Sector Companies
LTRPA,"Liberty TripAdvisor Holdings, Inc.",16.65,$1.25B,n/a,Technology,EDP Services
LTRPB,"Liberty TripAdvisor Holdings, Inc.",16.8,$1.26B,n/a,Technology,EDP Services
LPNT,"LifePoint Health, Inc.",57.3,$2.3B,n/a,Health Care,Hospital/Nursing Management
LCUT,"Lifetime Brands, Inc.",16.15,$233.06M,1991,Capital Goods,Industrial Machinery/Components
LFVN,Lifevantage Corporation,8.65,$121.35M,n/a,Health Care,Major Pharmaceuticals
LWAY,"Lifeway Foods, Inc.",12.46,$201.11M,n/a,Consumer Non-Durables,Packaged Foods
LGND,Ligand Pharmaceuticals Incorporated,105.54,$2.21B,n/a,Health Care,Major Pharmaceuticals
LTBR,Lightbridge Corporation,1.52,$8.43M,n/a,Consumer Services,Professional Services
LPTH,"LightPath Technologies, Inc.",1.54,$24.11M,1996,Technology,Semiconductors
LMB,"Limbach Holdings, Inc.",15.4769,$91.74M,n/a,n/a,n/a
LLNW,"Limelight Networks, Inc.",2.34,$246.31M,2007,Miscellaneous,Business Services
LMNR,Limoneira Co,19.7,$279.31M,n/a,Consumer Non-Durables,Farming/Seeds/Milling
LINC,Lincoln Educational Services Corporation,1.92,$47.73M,2005,Consumer Services,Other Consumer Services
LECO,"Lincoln Electric Holdings, Inc.",75.78,$5B,n/a,Technology,Industrial Machinery/Components
LIND,Lindblad Expeditions Holdings Inc. ,9.7,$445.89M,2013,Consumer Services,Transportation Services
LINDW,Lindblad Expeditions Holdings Inc. ,2.38,n/a,2013,Consumer Services,Transportation Services
LLTC,Linear Technology Corporation,60.81,$14.62B,1986,Technology,Semiconductors
LBIO,"Lion Biotechnologies, Inc.",7.5,$465.65M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LIOX,"Lionbridge Technologies, Inc.",4.99,$306.9M,1999,Miscellaneous,Business Services
LPCN,Lipocine Inc.,3.8,$69.39M,n/a,Health Care,Major Pharmaceuticals
LQDT,"Liquidity Services, Inc.",9.05,$278.21M,2006,Miscellaneous,Business Services
LFUS,"Littelfuse, Inc.",150.8,$3.4B,n/a,Consumer Durables,Electrical Products
LIVN,LivaNova PLC,43.24,$2.11B,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
LOB,"Live Oak Bancshares, Inc.",17.05,$583.68M,2015,Finance,Major Banks
LIVE,Live Ventures Incorporated,2.435,$40.75M,n/a,Technology,EDP Services
LPSN,"LivePerson, Inc.",8.55,$495.65M,2000,Technology,Computer Software: Prepackaged Software
LKQ,LKQ Corporation,32.67,$10.05B,n/a,Consumer Services,Motor Vehicles
LMFA,"LM Funding America, Inc.",6.1595,$20.33M,2015,Finance,Finance: Consumer Services
LMFAW,"LM Funding America, Inc.",0.45,n/a,2015,Finance,Finance: Consumer Services
LMIA,"LMI Aerospace, Inc.",7.9,$107.7M,1998,Capital Goods,Military/Government/Technical
LOGI,Logitech International S.A.,25.2,$4.08B,1997,Technology,Computer peripheral equipment
LOGM,"LogMein, Inc.",103.5,$2.64B,2009,Technology,Computer Software: Prepackaged Software
EVAR,"Lombard Medical, Inc.",0.6303,$12.53M,2014,Health Care,Medical/Dental Instruments
CNCR,Loncar Cancer Immunotherapy ETF,24.6285,n/a,n/a,n/a,n/a
LONE,Lonestar Resources US Inc.,9.5,$76.21M,n/a,Energy,Oil & Gas Production
LTEA,Long Island Iced Tea Corp.,4.61,$33.69M,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
LORL,"Loral Space and Communications, Inc.",39.9,$1.23B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment
LOXO,"Loxo Oncology, Inc.",27.77,$602M,2014,Health Care,Major Pharmaceuticals
LPTN,"Lpath, Inc.",2.71,$6.52M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LPLA,LPL Financial Holdings Inc.,40.01,$3.57B,2010,Finance,Investment Bankers/Brokers/Service
LRAD,LRAD Corporation,1.82,$57.87M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances
LYTS,LSI Industries Inc.,9.6,$240.14M,1985,Consumer Durables,Building Products
LULU,lululemon athletica inc.,57.54,$7.89B,2007,Consumer Non-Durables,Apparel
LITE,Lumentum Holdings Inc.,41.55,$2.5B,n/a,Consumer Durables,Telecommunications Equipment
LMNX,Luminex Corporation,20.95,$913.1M,2000,Health Care,Medical/Dental Instruments
LMOS,Lumos Networks Corp.,14.25,$335.96M,n/a,Public Utilities,Telecommunications Equipment
LUNA,Luna Innovations Incorporated,1.4,$38.56M,2006,Health Care,Biotechnology: Commercial Physical & Biological Resarch
MBTF,M B T Financial Corp,9.7,$220.55M,n/a,Finance,Major Banks
MACQ,"M I Acquisitions, Inc.",n/a,n/a,2016,Finance,Business Services
MACQU,"M I Acquisitions, Inc.",10,n/a,2016,n/a,n/a
MACQW,"M I Acquisitions, Inc.",0.22,n/a,2016,Finance,Business Services
MIII,M III Acquisition Corp.,9.75,$187.3M,2016,Finance,Business Services
MIIIU,M III Acquisition Corp.,9.7892,n/a,2016,Finance,Business Services
MIIIW,M III Acquisition Corp.,0.24,n/a,2016,Finance,Business Services
MBVX,"MabVax Therapeutics Holdings, Inc.",3.79,$23.86M,n/a,Health Care,Major Pharmaceuticals
MCBC,Macatawa Bank Corporation,9.07,$307.66M,n/a,Finance,Major Banks
MFNC,Mackinac Financial Corporation,12.775,$80.01M,n/a,Finance,Major Banks
MTSI,"MACOM Technology Solutions Holdings, Inc.",46.58,$2.5B,2012,Technology,Semiconductors
MCUR,Macrocure Ltd.,1.54,$26.27M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MGNX,"MacroGenics, Inc.",28.92,$1.01B,2013,Health Care,Major Pharmaceuticals
MDGL,"Madrigal Pharmaceuticals, Inc.",16.65,$192.64M,n/a,Health Care,Major Pharmaceuticals
MAGS,Magal Security Systems Ltd.,5.33,$92.57M,1993,Consumer Durables,Telecommunications Equipment
MGLN,"Magellan Health, Inc.",66,$1.53B,n/a,Health Care,Hospital/Nursing Management
MPET,Magellan Petroleum Corporation,5.01,$29.46M,n/a,Energy,Oil & Gas Production
MGIC,Magic Software Enterprises Ltd.,7.1,$314.78M,1991,Technology,Computer Software: Prepackaged Software
CALL,magicJack VocalTec Ltd,7.1,$112.87M,n/a,Public Utilities,Telecommunications Equipment
MNGA,MagneGas Corporation,0.49,$25.55M,n/a,Technology,Industrial Machinery/Components
MGYR,"Magyar Bancorp, Inc.",10.3656,$60.34M,n/a,Finance,Savings Institutions
MHLD,"Maiden Holdings, Ltd.",16.55,$1.43B,n/a,Finance,Property-Casualty Insurers
MSFG,"MainSource Financial Group, Inc.",29.9,$718.61M,n/a,Finance,Major Banks
COOL,Majesco Entertainment Company,3.41,$9.49M,n/a,Technology,Computer Software: Prepackaged Software
MMYT,MakeMyTrip Limited,26.2,$1.11B,2010,Consumer Services,Transportation Services
MBUU,"Malibu Boats, Inc.",17.19,$304.64M,2014,Capital Goods,Marine Transportation
MLVF,"Malvern Bancorp, Inc.",19.25,$126.29M,n/a,Finance,Banks
MAMS,"MAM Software Group, Inc.",6.69,$81.75M,n/a,Technology,Computer Software: Prepackaged Software
TUSK,"Mammoth Energy Services, Inc.",14.65,$549.38M,2016,Energy,Oilfield Services/Equipment
MANH,"Manhattan Associates, Inc.",53.93,$3.84B,1998,Technology,Computer Software: Prepackaged Software
LOAN,"Manhattan Bridge Capital, Inc",6.9,$56.13M,n/a,Consumer Services,Real Estate Investment Trusts
MNTX,"Manitex International, Inc.",5.65,$91.42M,n/a,Technology,Industrial Machinery/Components
MTEX,"Mannatech, Incorporated",16.85,$45.27M,n/a,Consumer Durables,Specialty Chemicals
MNKD,MannKind Corporation,0.6298,$301.28M,2004,Health Care,Major Pharmaceuticals
MANT,ManTech International Corporation,43.37,$1.67B,2002,Consumer Services,Other Consumer Services
MAPI,Mapi - Pharma Ltd.,n/a,n/a,n/a,n/a,n/a
MARA,"Marathon Patent Group, Inc.",2.17,$32.7M,n/a,Miscellaneous,Multi-Sector Companies
MCHX,"Marchex, Inc.",2.63,$113.51M,2004,Miscellaneous,Business Services
MARPS,Marine Petroleum Trust,3.043,$6.09M,n/a,Energy,Oil & Gas Production
MRNS,"Marinus Pharmaceuticals, Inc.",1.1,$21.68M,2014,Health Care,Major Pharmaceuticals
MKTX,"MarketAxess Holdings, Inc.",171.02,$6.43B,2004,Finance,Investment Bankers/Brokers/Service
MRLN,Marlin Business Services Corp.,19.55,$245.64M,2003,Finance,Major Banks
MAR,Marriott International,77.47,$30.25B,n/a,Consumer Services,Hotels/Resorts
MBII,"Marrone Bio Innovations, Inc.",2.16,$53.26M,2013,Basic Industries,Agricultural Chemicals
MRTN,"Marten Transport, Ltd.",23.9,$778.46M,1986,Transportation,Trucking Freight/Courier Services
MMLP,Martin Midstream Partners L.P.,17.45,$618.68M,2002,Energy,Oil Refining/Marketing
MRVL,Marvell Technology Group Ltd.,13.36,$6.84B,2000,Technology,Semiconductors
MASI,Masimo Corporation,61.7,$3.07B,2007,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MTCH,"Match Group, Inc.",17.79,$4.53B,2015,Technology,"Computer Software: Programming, Data Processing"
MATN,"Mateon Therapeutics, Inc. ",0.48,$12.74M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MTLS,Materialise NV,8.45,$399.9M,2014,Technology,Computer Software: Prepackaged Software
MTRX,Matrix Service Company,19.9,$528.01M,1990,Basic Industries,Engineering & Construction
MAT,"Mattel, Inc.",31.81,$10.88B,n/a,Consumer Non-Durables,Recreational Products/Toys
MATR,Mattersight Corporation,3.45,$91.51M,n/a,Technology,EDP Services
MATW,Matthews International Corporation,68.35,$2.19B,1994,Capital Goods,Metal Fabrications
MXIM,"Maxim Integrated Products, Inc.",39.74,$11.26B,1988,Technology,Semiconductors
MXPT,"MaxPoint Interactive, Inc.",8.76,$58.09M,n/a,Consumer Services,Advertising
MXWL,"Maxwell Technologies, Inc.",4.85,$155.64M,n/a,Miscellaneous,Industrial Machinery/Components
MZOR,Mazor Robotics Ltd.,22.16,$471.06M,n/a,Health Care,Medical/Dental Instruments
MBFI,MB Financial Inc.,42.79,$3.58B,n/a,Finance,Major Banks
