Ticker,Exchange,Country
TYC1.F,FRA,Germany
BANC,NYQ,USA
23B.F,FRA,Germany
PPJ.SG,STU,Germany
PCTZF,PNK,USA
NCIT,NMS,USA
DMXTY,PNK,USA
ELD.AX,ASX,Australia
DECN.MX,MEX,Mexico
RNW.TO,TOR,Canada
MHN,NYQ,USA
TOVC,PNK,USA
CCCXF,PNK,USA
EVOTF,PNK,USA
AMPW,PNK,USA
MSMN.L,LSE,UK
OCJ.BE,BER,Germany
VRCFF,PNK,USA
QHH.F,FRA,Germany
YINGY,PNK,USA
HINKF,PNK,USA
QBELOR-A,ASX,Australia
CRZY,PNK,USA
WFTSF,PNK,USA
CTSH.SW,EBS,Austria
DPM,NYQ,USA
SGQRF,PNK,USA
DRE2.F,FRA,Germany
Y01A.F,FRA,Germany
YAV.F,FRA,Germany
BEMG,PNK,USA
S7E.F,FRA,Germany
OCTX,PNK,USA
TAP-A,NYQ,USA
099830.KQ,KOE,South Korea
5CF.BE,BER,Germany
C1S.BE,BER,Germany
ZTS,NYQ,USA
BDZ.SG,STU,Germany
0527.HK,HKG,Hong Kong
GV,ASE,USA
RNMBY,PNK,USA
NMNZF,PNK,USA
UMBBF,PNK,USA
NEVDF,PNK,USA
THW,NYQ,USA
OMKARPH.BO,BSE,India
KI8.BE,BER,Germany
HTBNF,PNK,USA
0268.HK,HKG,Hong Kong
FAY.BE,BER,Germany
SNYR,OBB,USA
XMPA.MU,MUN,Germany
ELTZ.L,LSE,UK
VNM.MU,MUN,Germany
UOF.MU,MUN,Germany
MBG.V,VAN,Canada
ROP,NYQ,USA
DCM,NYQ,USA
TAY.BE,BER,Germany
ZNGKRV-A,ASX,Australia
NOTQF,PNK,USA
AHII,OBB,USA
KMPR,NYQ,USA
AFGE,NYQ,USA
IBWSL.BO,BSE,India
VVIVF,PNK,USA
DIVI.L,LSE,UK
JCN.BE,BER,Germany
CUK,NYQ,USA
AKTS,OBB,USA
ENI,NYQ,USA
GBSN,NCM,Australia
AMSF,NMS,USA
6IZ.BE,BER,Germany
1305.HK,HKG,Hong Kong
3368-OL.HK,HKG,Hong Kong
LH,NYQ,USA
JSD,NYQ,USA
VNMC,PNK,USA
PBYA,PNK,USA
RBC,NYQ,USA
CTOT,PNK,USA
NPPXF,PNK,USA
JUN3.SG,STU,Germany
GMT,NYQ,USA
VIS.IC,ICE,Iceland
VGLS,PNK,USA
RSW.L,LSE,UK
POW.TO,TOR,Canada
PEGA,NMS,USA
JJO.DU,DUS,Germany
EMMS,NMS,USA
BSW.HM,HAM,Germany
W-PB.TO,TOR,Canada
YCZ.MU,MUN,Germany
BXE,NYQ,USA
WFR.F,FRA,Germany
JEL.L,LSE,UK
KHKSF,PNK,USA
RMAX,NYQ,USA
PTKFY,PNK,USA
KCC.V,VAN,Canada
GTWN,NCM,Australia
BJINY,PNK,USA
VZFF.EX,EUX,Germany
IYYA.BE,BER,Germany
PGRX,PNK,USA
USA,NYQ,USA
FB2A.DE,GER,Germany
SPH1.F,FRA,Germany
TSC10.BA,BUE,Argentina
H9B.F,FRA,Germany
UAM,NYQ,USA
4711.TWO,TWO,Taiwan
N,NYQ,USA
ZCHA.BE,BER,Germany
RMKXF,PNK,USA
CRNCY,PNK,USA
EGZ.TO,TOR,Canada
OXDAI.SW,EBS,Austria
FJZ.SG,STU,Germany
MVG,ASE,USA
WRX1.F,FRA,Germany
ORA.MI,MIL,Italy
ALTHE.PA,PAR,France
ATOC,PNK,USA
ADY.BE,BER,Germany
UPD.AX,ASX,Australia
0853.HK,HKG,Hong Kong
P7J1.F,FRA,Germany
OVCHF,PNK,USA
QL2.SI,SES,Singapore
JMTAUTOLT.NS,NSI,India
TDE,NYQ,USA
AXC.SI,SES,Singapore
4980.TWO,TWO,Taiwan
717247.TWO,TWO,Taiwan
LVMUY,PNK,USA
STXS,NCM,Australia
WS7A.F,FRA,Germany
SLTA,PNK,USA
RW0U.SI,SES,Singapore
KHE.F,FRA,Germany
DMI.AX,ASX,Australia
OTOW,PNK,USA
RQQ.MU,MUN,Germany
CL1A.F,FRA,Germany
ZSOMESCE.BO,BSE,India
NBVENTURE.NS,NSI,India
BWW.SG,STU,Germany
LARK,NGM,Sweden
ZZA.F,FRA,Germany
RYGYO.IS,IST,Turkey
BSEFY,PNK,USA
BES.LS,LIS,Portugal
ODN.AX,ASX,Australia
COK.DE,GER,Germany
ELOS,NMS,USA
SDIPF,PNK,USA
XTL.BE,BER,Germany
WGA,ASE,USA
EXN.BE,BER,Germany
KAMP.AT,ATH,Greece
DXLG,NMS,USA
5I0.SI,SES,Singapore
JLT.SG,STU,Germany
SHA.F,FRA,Germany
EGRTF,PNK,USA
WESC,PNK,USA
0337.HK,HKG,Hong Kong
CBAK,NGM,Sweden
HRBR,PNK,USA
TNAV,NMS,USA
WAYS,PNK,USA
WWFA.SG,STU,Germany
CFIGY,PNK,USA
ZBB,ASE,USA
UEXCF,PNK,USA
DVO.L,LSE,UK
KWALITY.NS,NSI,India
SVEG.OL,OSL,Norway
BRN,ASE,USA
PFLC,PNK,USA
EMG.L,LSE,UK
DKS,NYQ,USA
PUGE,PNK,USA
YNP.BK,SET,Thailand
CJPRY,PNK,USA
WFGPY,PNK,USA
SNSY5.SA,SAO,Brazil
3W31.F,FRA,Germany
3062-OL.HK,HKG,Hong Kong
TLR.V,VAN,Canada
ODD.ST,STO,Sweden
HPF-UN.TO,TOR,Canada
SIVBO,NMS,USA
QRSM,PNK,USA
CBAI,PNK,USA
EONGY,PNK,USA
AVOL,NYQ,USA
GPLA,PNK,USA
TS6.BE,BER,Germany
BME,NYQ,USA
083660.KQ,KOE,South Korea
AMJYF,PNK,USA
MKLW.L,LSE,UK
PHM,NYQ,USA
JPM.L,LSE,UK
220630.KQ,KOE,South Korea
W7LF.EX,EUX,Germany
GNTX,NMS,USA
AAGIY,PNK,USA
LMNK,PNK,USA
WBMD,NMS,USA
ACRS,NMS,USA
SRE.L,LSE,UK
DBO.TO,TOR,Canada
WIKA.JK,JKT,Indonesia
ZSC.SG,STU,Germany
OGXI,NCM,Australia
SONVF,PNK,USA
ZBB.A,ASE,USA
FR.TO,TOR,Canada
USBC34.SA,SAO,Brazil
UJO.L,LSE,UK
ZOF.MU,MUN,Germany
03042X.TW,TAI,Taiwan
ALXDF,PNK,USA
TCS.BE,BER,Germany
JW-A,NYQ,USA
RDXH,PNK,USA
WO8.F,FRA,Germany
ZWC1.MU,MUN,Germany
ADXSW,NCM,Australia
HVN.AX,ASX,Australia
3NVN.F,FRA,Germany
DDXFD,PNK,USA
OU8.F,FRA,Germany
CVVT,PNK,USA
QRXPY,PNK,USA
BIG.AX,ASX,Australia
KCN.AX,ASX,Australia
TSE1.BE,BER,Germany
OCC.AX,ASX,Australia
YHA.F,FRA,Germany
MCX.BO,BSE,India
CVI-A.TO,TOR,Canada
VWA.AS,AMS,Netherlands
ZOO.BE,BER,Germany
AREX,NMS,USA
N3L.SG,STU,Germany
KUREF,PNK,USA
TOL.AX,ASX,Australia
NARRF,PNK,USA
ROTI.JK,JKT,Indonesia
AJG.L,LSE,UK
IVU.DE,GER,Germany
RWE3.DU,DUS,Germany
EBAY34F.SA,SAO,Brazil
XYUA.BE,BER,Germany
ARDX,NGM,Sweden
180640.KS,KSC,Korea
TRV.MX,MEX,Mexico
1875661.BE,BER,Germany
NAEY,PNK,USA
013870.KS,KSC,Korea
717089.TWO,TWO,Taiwan
3818.HK,HKG,Hong Kong
SEB-A.ST,STO,Sweden
PNI,NYQ,USA
CRIS,NGM,Sweden
FUC.SG,STU,Germany
KMFI,PNK,USA
AAD.DE,GER,Germany
EFX,NYQ,USA
INDT.ST,STO,Sweden
047040.KS,KSC,Korea
PQL.DE,GER,Germany
KZD.V,VAN,Canada
086790.KS,KSC,Korea
6963.KL,KLS,Malaysia
BIP,NYQ,USA
CALCOM.BO,BSE,India
YSM.SG,STU,Germany
083360.KS,KSC,Korea
CSMG3F.SA,SAO,Brazil
MCFUF,PNK,USA
DMTX,NMS,USA
DXCM,NMS,USA
IH0.SI,SES,Singapore
MGNX,NMS,USA
OR6.BE,BER,Germany
YAB2.MU,MUN,Germany
M08.SG,STU,Germany
CGFEF,PNK,USA
UQM.MU,MUN,Germany
DF.TO,TOR,Canada
FBP,NYQ,USA
ITEK,NGM,Sweden
TAC,NYQ,USA
DKM.AX,ASX,Australia
CPFH,PNK,USA
EDD3.F,FRA,Germany
NIGTF,PNK,USA
VA7A.F,FRA,Germany
VSC.AX,ASX,Australia
OCN.V,VAN,Canada
SHPGF,PNK,USA
KBWA.SG,STU,Germany
VSTTILLER.NS,NSI,India
VHI,NYQ,USA
RUSMF,PNK,USA
MEILW,NCM,Australia
IENVF,PNK,USA
ASMF.DU,DUS,Germany
0193.HK,HKG,Hong Kong
V6C.BE,BER,Germany
BXMT,NYQ,USA
QVCB,NMS,USA
IFM.DE,GER,Germany
CADC,NCM,Australia
DPDW,PNK,USA
NAOLINEN.BO,BSE,India
ARWR,NMS,USA
KBR.MX,MEX,Mexico
YG4.MU,MUN,Germany
BXB.AX,ASX,Australia
JUMSF,PNK,USA
ESFS,PNK,USA
HCMLY,PNK,USA
AQMS,NCM,Australia
CKX,ASE,USA
BVTLF,PNK,USA
PJT.V,VAN,Canada
JOT.F,FRA,Germany
PMDL,PNK,USA
VDPH,PNK,USA
DMCIF,PNK,USA
IDP.DU,DUS,Germany
TIS,ASE,USA
GOFPY,PNK,USA
SCDA,PNK,USA
CB4.F,FRA,Germany
GOOG,NMS,USA
FEQ.BE,BER,Germany
AMTX,NGM,Sweden
MRD.TO,TOR,Canada
CHU,NYQ,USA
HAS,NMS,USA
YB1.DE,GER,Germany
SYNC,NGM,Sweden
ENRJ,ASE,USA
S7OU.SI,SES,Singapore
JSPT.JK,JKT,Indonesia
ABTO,PNK,USA
